id,college,state,district
20625,"PVRR MEMORIAL COLLEGE OF EDUCATION, YELLAREDDYGUDEM   ",Telangana,Nalgonda
20626,"RAJARAM MEMORIAL DEGREE COLLEGE, SURYAPET   ",Telangana,Nalgonda
20627,"RAMAKRISHNA DEGREE COLLEGE, HALIA   ",Telangana,Nalgonda
20628,"RKLK COLLEGE OF EDUCAITON, SURYAPET   ",Telangana,Nalgonda
20629,"RKLK DEGREE COLLEGE, SURYAPET   ",Telangana,Nalgonda
20630,RKLK PG COLLEGE SURYAPET   ,Telangana,Nalgonda
20631,"RKLK WOMENS DEGREE COLLEGE, SURYAPET   ",Telangana,Nalgonda
20632,"SAHITHI COLLEGE OF EDUCAITION, TIRUMALAGIRI   ",Telangana,Nalgonda
20633,SAI COLLEGE OF LIBRARY SCIENCE SURYAPET   ,Telangana,Nalgonda
20634,"SAIKRUPA DEGREE COLLEGE, BHONGIR   ",Telangana,Nalgonda
20635,SAI KRUPA DEGREE & PG COLLEGE BHONGIR   ,Telangana,Nalgonda
20636,"SAIRAM DEGREE COLLEGE, MOTKUR   ",Telangana,Nalgonda
20637,"SAI VIKAS PG COLLEGE, KODAD   ",Telangana,Nalgonda
20638,"SANA COLLEGE OF BUSINESS MANAGEMENT, KODAD   ",Telangana,Nalgonda
20639,"SANA COLLEGE OF TEACHER EDUCAITON, KODAD   ",Telangana,Nalgonda
20640,"SANJEEVANI COLLEGE OF EDUCAITON, KONDAMALLEPALLY   ",Telangana,Nalgonda
20641,"SHALIVAHANA DEGREE COLLEGE, KONDAMALLEPALLY   ",Telangana,Nalgonda
20642,"SHANTHINIKETHAN PG COLLEGE MCA), MIRYALAGUDA   ",Telangana,Nalgonda
20643,"SHANTHINIKETHAN PG COLLEGE, MIRYALAGUDA   ",Telangana,Nalgonda
20644,"SHANTINIKETAN DEGREE COLLEGE, MIRYALAGUDA   ",Telangana,Nalgonda
20645,"SHANTINIKETHAN COLLEGE OF EDUCAIOTION, MIRYALAGUDA   ",Telangana,Nalgonda
20646,"SHANTINIKETHAN PG COLLEGE, MIRYALAGUDA   ",Telangana,Nalgonda
20647,S ,Telangana,Nalgonda
20648,S ,Telangana,Nalgonda
20649,S ,Telangana,Nalgonda
20650,SLNS COLLEGE BHONGIR   ,Telangana,Nalgonda
20651,"SLNS DEGREE COLLEGE, ALAIR   ",Telangana,Nalgonda
20652,S.L.N.S. SANSKRIT V ,Telangana,Nalgonda
20653,"SOGHRA COLLEGE OF TEACHER EDUCAITON, KONDA BHEEMANAPALLY   ",Telangana,Nalgonda
20654,"SPANDANA DEGREE COLLEGE, SURYAPET   ",Telangana,Nalgonda
20655,SPANDANA PG COLLEGE SURYAPET   ,Telangana,Nalgonda
20656,"SRI CHAITANYA DEGREE COLLEGE, CHITYAL   ",Telangana,Nalgonda
20657,"SRI CHAITANYA DEGREE COLLEGE, MAAL   ",Telangana,Nalgonda
20658,"SRI CHAITANYA DEGREE COLLEGE, NALGONDA   ",Telangana,Nalgonda
20659,"SRI HINDU DEGREE COLLEGE, RAMANNAPET   ",Telangana,Nalgonda
20660,"SRI KRISHNADEVARAYA COLLEGE OF EDUCATION, NALGONDA   ",Telangana,Nalgonda
20661,"SRI LAXMI NARASIMHA SWAMY DEGREE COLLEGE, BHONGIR   ",Telangana,Nalgonda
20662,"SRI MALLIKARJUNA DEGREE COLLEGE, NAKREKAL   ",Telangana,Nalgonda
20663,"SRINAGARJUNA DEGREE COLLEGE, MIRLAYAGUDA   ",Telangana,Nalgonda
20664,"SRI NAGARJUNA DEGREE COLLEGE, MIRYALAGUDA   ",Telangana,Nalgonda
20665,"SRI NAVABHARAT DEGREE COLLEGE, BHONGIR   ",Telangana,Nalgonda
20666,SRI NAVABHARAT DEGREE & PG COLLEGE BHONGIR   ,Telangana,Nalgonda
20667,SRIN ,Telangana,Nalgonda
20668,"SRI POOJITHA DEGREE COLLEGE, SURYAPET   ",Telangana,Nalgonda
20669,"SRI RAGHAVENDRA COLLEGE OF EDUCATION, NALGONDA   ",Telangana,Nalgonda
20670,"SRI RAGHAVENDRA DEGREE COLLEGE, NALGONDA   ",Telangana,Nalgonda
20671,SRI RAMALINGESHWARA DEGREE COLLEGE NARKETPALLY   ,Telangana,Nalgonda
20672,"SRI SAI DEGREE COLLEGE  CO-EDUCATION), THIRUMALAGIRI   ",Telangana,Nalgonda
20673,"SRI SAI DEGREE COLLEGE, SURYAPET   ",Telangana,Nalgonda
20674,SRI SAI PG COLLEGE SURYAPET   ,Telangana,Nalgonda
20675,"SRI SAI TRIVENI DEGREE COLLEGE, SURYAPET   ",Telangana,Nalgonda
20676,SRI SAI TRIVENI PG COLLEGE SURYAPET   ,Telangana,Nalgonda
20677,"SRI SAI VIKAS DEGREE COLLEGE, KODAD   ",Telangana,Nalgonda
20678,"SRI SANTOSH DEGREE COLLEGE, MOTKUR   ",Telangana,Nalgonda
20679,"SRI SARASWATHI DEGREE COLLEGE, RAJAPET   ",Telangana,Nalgonda
20680,"SRI SATYASAI DEGREE OCLLEGE, DEVARAKONDA   ",Telangana,Nalgonda
20681,"SRI SNEHA DEGREE COLLEGE, BHONGIR   ",Telangana,Nalgonda
20682,SRI VASAVI DEGREE COLLEGE NAGARJUNA SAGAR   ,Telangana,Nalgonda
20683,"SRI VENKATESHWARA COLLEGE OF EDUCATION, NALGONDA   ",Telangana,Nalgonda
20684,"SRIVENKATESHWARA DEGREE COLLEGE, KONDAMALLEPALLY   ",Telangana,Nalgonda
20685,"SRI VENKATESHWARA DEGREE COLLEGE, SURYAPET   ",Telangana,Nalgonda
20686,"SRI VENKATESHWARA DEGREE & PG COLLEGE, KODAD   ",Telangana,Nalgonda
20687,SRI V ,Telangana,Nalgonda
20688,SRI V ,Telangana,Nalgonda
20689,"SRI VINAYAKA DEGREE COLLEGE, SURYAPETA   ",Telangana,Nalgonda
20690,"SRUJANA DEGREE COLLEGE, HALIA   ",Telangana,Nalgonda
20691,"SSR COLLEGE OF EDUCAITON, NALGONDA   ",Telangana,Nalgonda
20692,"STANFORD COLLEGE OF EDUCATION, HANUMAPUR   ",Telangana,Nalgonda
20693,"STANFORD PG COLLEGE, BHONGIR   ",Telangana,Nalgonda
20694,"STANFORD WOMENS DEGREE COLLEGE, BHONGIR   ",Telangana,Nalgonda
20695,"ST. FRANCIS COLLEGE OF EDUCATION, SURYAPET   ",Telangana,Nalgonda
20696,"ST. GEORGE'S INSTITUTE OF BUSINESS ADMINISTRATION, BHONGIR   ",Telangana,Nalgonda
20697,"ST. MARRY'S PG COLLEGE OF COMPUTER SCIENCE, DESHMUKHI   ",Telangana,Nalgonda
20698,"ST. MARY'S COLLEGE OF EDUCATION, DESHMUKHI   ",Telangana,Nalgonda
20699,"ST. MARY'S PG COLLEGE OF MANAGEMENT STUDIES, DESHMUKHI   ",Telangana,Nalgonda
20700,"ST.MARY'S PG COLLEGE OF MANAGEMENT STUDIES, DESHMUKHI   ",Telangana,Nalgonda
20701,"SUGUNA DEGREE COLLEGE, KODAD   ",Telangana,Nalgonda
20702,"TRIVENI ARTS & SCIENCE DEGREE COLLEGE, KODAD   ",Telangana,Nalgonda
20703,"UJWALA DEGREE COLLEGE, VALIGONDA   ",Telangana,Nalgonda
20704,"UNIVERISYT COLLEGE OF ARTS & SOCIAL SCIENCE, NALGONDA   ",Telangana,Nalgonda
20705,"UNIVERSAL COLLEGE OF EDUCATION, KODAD   ",Telangana,Nalgonda
20706,"UNIVERSITY COLLEGE OF COMMERCE & BUSINESS MANAGEMENT, NALGONDA   ",Telangana,Nalgonda
20707,"UNIVERSITY COLLEGE OF SCIENCE & INFORMATICS, NALGONDA   ",Telangana,Nalgonda
20708,"UNIVERSITY COLLEGE OF SCIENCE & INFORMATICS, YELLAREDDYAGUDA   ",Telangana,Nalgonda
20709,VASAVI DEGREE COLLEGE NAKREKAL   ,Telangana,Nalgonda
20710,"VASTHSALYA COLLEGE OF BUSINESS MANAGEMENT, BHONGIR   ",Telangana,Nalgonda
20711,"VASTHSALYA COLLEGE OF BUSINESS MANAGEMENT MCA), BHONGIR   ",Telangana,Nalgonda
20712,"VATHSALYA COLLEGE OF EDUCATION, BHONGIR   ",Telangana,Nalgonda
20713,VENKATESHWARA PG COLLEGE SURYAPET   ,Telangana,Nalgonda
20714,"VENNELA INSTITUTE ADVANCED STUDY IN EDUCATION, SURYAPET   ",Telangana,Nalgonda
20715,"VENNELA INSTITUTE OF BUSINESS ADMINISTRATION, ANNANTHARAM   ",Telangana,Nalgonda
20716,"VIJETHA DEGREE COLLEGE, MIRYALAGUDA   ",Telangana,Nalgonda
20717,VIJETHA DEGREE MIRYALAGUDA   ,Telangana,Nalgonda
20718,"VIKAS CHRISTIAN COLLEGE OF EDUCATION, SURYAPET   ",Telangana,Nalgonda
20719,"MAHATMA GANDHI DENTAL COLLEGE AND HOSPITAL, JAIPUR   ",Rajasthan,Jaipur
20720,"MAHATMA GANDHI MEDICAL COLLEGE AND HOSPITAL, JAIPUR   ",Rajasthan,Jaipur
20721,"MAHATMA GANDHI NURSING COLLEGE, JAIPUR   ",Rajasthan,Jaipur
20722,"MAHATMA GANDHI NURSING SCHOOL, JAIPUR   ",Rajasthan,Jaipur
20723,"MAHATMA GANDHI PHYSIOTHERAPY COLLEGE, JAIPUR   ",Rajasthan,Jaipur
20724,"College of Agriculture, Dhule   ",Maharashtra,Dhule
20725,"College of Agriculture, Kolhapur   ",Maharashtra,Kolhapur
20726,"College Of Agriculture, Shivajinagar, Pune   ",Maharashtra,Pune
20727,"Dr. Annasaheb Shinde College of Agriculture Eng., Rahuri   ",Maharashtra,Ahmadnagar
20728,"Post Graduate Institute, Rahuri   ",Maharashtra,Ahmadnagar
20729,AADINATH INSTITUTE OF INFORMATION TECHNOLOGY & MANAGEMENT BARWANI   ,Madhya Pradesh,Barwani
20730,AASS INFORMATION TECHNOLOGY RAIGARH   ,Chhatisgarh,Raigarh
20731,ABACUS INSTITUTE OF TECHNOLOGY & MANAGEMENT PANDHURNA   ,Madhya Pradesh,Chhindwara
20732,"ABLAZE INSTITUTE, BHILAI   ",Chhatisgarh,Durg
20733,ACADEMY OF COMPUTER SCIENCE & APPLICATION JODHPUR   ,Rajasthan,Jodhpur
20734,ACADEMY OF COMPUTER SCIENCE & TECHNOLOGY JABALPUR   ,Madhya Pradesh,Jabalpur
20735,ACADEMY OF JOURNALISM & BROADCAST COMMUNICATION HOSHANGABAD   ,Madhya Pradesh,Gwalior
20736,"ACADEMY OF JOURNALISM & BROADCAST COMMUNICATION, HOSHANGABAD   ",Madhya Pradesh,Hoshangabad
20737,ACMEVISION INSTITUTE OF COMPUTER SCIENCE SHAJAPUR   ,Madhya Pradesh,Shajapur
20738,ACTI COMPUTER RAHLI   ,Madhya Pradesh,Sagar
20739,"ADITI COMPUTER INSTITUTE & ENGINEERING TECHNOLOGY , SATNA   ",Madhya Pradesh,Satna
20740,ADITYA INSTITUTE OF SCIENCE AND TECHNOLOGY BHOPAL   ,Madhya Pradesh,Bhopal
20741,ADVANCE COMPUTER ENGINEERING BHOPAL   ,Madhya Pradesh,Bhopal
20742,ADVANCE COURSES OF COMPUTER APPLICATION JABALPUR   ,Madhya Pradesh,Jabalpur
20743,ADVANCE INSTITUTE OF TECHNICAL STUDIES UJJAIN   ,Madhya Pradesh,Ujjain
20744,AGGARWAL INSTITUTE OF COMPUTERS HANUMANGARH JN   ,Rajasthan,Hanumangarh
20745,AGOSHDEEP INSTITUTE OF INFORMATION TECHNOLOGY NAGDA   ,Madhya Pradesh,Ujjain
20746,AISECT COMPUTER CENTRE PILANI   ,Rajasthan,Jhunjhunun
20747,AISECT COMPUTER EDUCATION CENTRE BALLARPUR   ,Maharashtra,Chandrapur
20748,AISECT COMPUTER EDUCATION CENTRE FATEHPUR SHEKHAWATI   ,Rajasthan,Sikar
20749,"AISECT COMPUTER EDUCATION CENTRE, HOSHANGABAD   ",Madhya Pradesh,Hoshangabad
20750,"AISECT COMPUTERS, HAZARIBAGH   ",Jharkhand,Hazaribagh
20751,AISECT SUPELA  BHILAI) BHILAI SUPELA   ,Chhatisgarh,Durg
20752,AISHWARYA COLLEGE OF EDUCATION  ACE) JODHPUR   ,Rajasthan,Jodhpur
20753,AISHWARYA COLLEGE OF EDUCATION UDAIPUR   ,Rajasthan,Udaipur
20754,AITM INSTITUTE OF PROFESSIONAL STUDIES AMBAH   ,Madhya Pradesh,Morena
20755,"AJMERA INSTITUTE OF MEDIA STUDIES, BAREILLY   ",Uttar Pradesh,Bareilly
20756,ALIVE INFOTECH COMPUTER EDUCATION SHIKOHABAD   ,Uttar Pradesh,Firozabad
20757,ALL TECH COMPUTER EDUCATION GANJBASODA   ,Madhya Pradesh,Ujjain
20758,ALMA COMPUTER EDUCATION CENTRE GADARWARA   ,Madhya Pradesh,Narsimhapur
20759,AMBIKA COMPUTER & MANAGMENT EDUCATION SHIVPURI   ,Madhya Pradesh,Shivpuri
20760,ANGAHAL INSTITUTE OF TRAINING FOR ELECTRONIC & COMPUTER TECHNOLOGY  AITECT) IMPHAL   ,Manipur,Imphal West
20761,"ANIMATION ACADEMY, INDORE   ",Madhya Pradesh,Indore
20762,"ANIMATION ACADEMY, PATNA   ",Bihar,Patna
20763,ANJALI COMPUTER TRUST ALWAR   ,Rajasthan,Alwar
20764,"APEX INSTITUTE OF TECHNOLOGY & MANAGEMENT, MORENA   ",Madhya Pradesh,Morena
20765,"A.P.N.P.G. COLLEGE, BASTI   ",Uttar Pradesh,Basti
20766,ARC NET COMPUTER EDUCATION CENTRE BHOPAL   ,Madhya Pradesh,Bhopal
20767,ARIHANT COMPUTERS BALAGHAT   ,Madhya Pradesh,Balaghat
20768,ARORVANSH INSTITUTE OF COMPUTER  AIC) SRI GANGA NAGAR   ,Rajasthan,Ganganagar
20769,ARYAN INSTITUTE OF PROFESSIONAL STUDIES & RESEARCH GWALIOR   ,Madhya Pradesh,Gwalior
20770,ARYAN INTERNATIONAL COLLEGE AJMER   ,Rajasthan,Ajmer
20771,ASHA INSTITUTE OF TECHNOLOGY AND SCIENCE  AITS) GWALIOR   ,Madhya Pradesh,Gwalior
20772,"ASIAN INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY , PATNA   ",Bihar,Patna
20773,ASSAM INSTITUTE OF TECHNOLOGY GUWAHATI   ,Assam,Kamrup
20774,AYUSHI INSTITUTE OF MEDIA & SCIENCE BHIND   ,Madhya Pradesh,Bhind
20775,AYUSHI INSTITUTE OF MEDIA & SCIENCE DABRA   ,Madhya Pradesh,Gwalior
20776,BADRI NARAYAN SAHA DAV PUBLIC SCHOOL GIR ,Jharkhand,Giridih
20777,BALMIK ELECTRONIC SOFTWARE TECHNOLOGY  BEST) JHABUA   ,Madhya Pradesh,Jhabua
20778,BANARAS INSTITUTE OF TECHNOLOGY & MANAGEMENT VARANASI   ,Uttar Pradesh,Varanasi
20779,BARHI COMPUTER SCIENCE AND JOURNALISM INSTITUTE BARHI   ,Madhya Pradesh,Katni
20780,"BDPS COMPUTER EDUCATION SOCIETY, MANGALORE   ",Karnataka,Dakshina Kannada
20781,"BDPS COMPUTER EDUCATION SOCIETY, SHILLONG   ",Meghalaya,East Khasi Hills
20782,"BDPS COMPUTER EDUCATION SOCIETY, SILCHAR   ",Assam,Cachar
20783,"BDPS COMPUTER EDUCATION SOCIETY, TEJPUR   ",Assam,Sonitpur
20784,BEST GWALIOR   ,Madhya Pradesh,Gwalior
20785,BHAGWAN KALA KENDRA BHOPAL   ,Madhya Pradesh,Bhopal
20786,BHARAT COMPUTER & MANAGMENT TECHNOLOGY BHATINDA   ,Punjab,Bathinda
20787,BHARAT INSTITUTE OF TECHNOLOGY AND SCIENCE DATIA   ,Madhya Pradesh,Datia
20788,BHARAT MATA INSTITUTE OF INFORMATION TECHNOLOGY VARANASI   ,Uttar Pradesh,Varanasi
20789,BHARDWAJ COMPUTER TRAINING INSTITUTE CHHABRAGUGOR   ,Rajasthan,Baran
20790,"BHARTIYA BHASHA PARISHAD, KOLKATA   ",West Bengal,Kolkata
20791,BHARTIYA INSTITUTE OF PROFESSIONAL STUDIES UJJAIN   ,Madhya Pradesh,Ujjain
20792,"BHARTIYA MEDIA SANSTHAN, NEW DELHI   ",Delhi,New Delhi
20793,BHARTIYA V ,Madhya Pradesh,Gwalior
20794,BHAWANA INSTITUTE OF INFORMATION TECHNOLOGY  BIIT) COMPUTER EDUCATION CENTRE RAJGARH   ,Rajasthan,Alwar
20795,"BHAWANA INSTITUTE OF INFORMATION TECHNOLOGY, JAIPUR   ",Rajasthan,Jaipur
20796,BHOPAL INSTITUTE OF PROFESSIONAL STUDIES BHOPAL   ,Madhya Pradesh,Bhopal
20797,"BIHAR INSTITUTE OF JOURNALISM & MASS COMMUNICATION , PATNA   ",Bihar,Patna
20798,BIIT  BRILLIANT INSTITUTE OF INFORMATION TECHNOLOGY) SHEOPUR   ,Madhya Pradesh,Sheopur
20799,"BIMB TELEVISION FILM ACADEMY, BHOPAL   ",Madhya Pradesh,Bhopal
20800,BIRGUNJ INSTITUTE OF INFORMATION TECHNOLOGY BIRGUNJ   ,Nagaland,Kohima
20801,BLEW COMPUTER CENTRE BHOPAL   ,Madhya Pradesh,Bhopal
20802,BRAIN COMPUTERS CHHATARPUR   ,Madhya Pradesh,Chhatarpur
20803,BRAINS BHILAI   ,Chhatisgarh,Durg
20804,BRIGHT COMPUTER KOTA   ,Rajasthan,Kota
20805,BRIJLAL PRAJAPATI INSTITUTE OF COMPUTER EDUCATION KARELI   ,Madhya Pradesh,Narsimhapur
20806,BRILLIANT CENTRE OF INFORMATION TECHNOLOGY NERCHOWK   ,Himachal Pradesh,Mandi
20807,BROWN INSTITUTE OF PROFESSIONAL STUDIES GWALIOR   ,Madhya Pradesh,Gwalior
20808,B.S. COMPUTER INSTITUTE CHHATARPUR   ,Madhya Pradesh,Chhatarpur
20809,BUNDELKHAND COMPUTER EDUCATION ORAI   ,Uttar Pradesh,Jalaun
20810,BUREAU OF COMPUTER SCIENCE & TECHNOLOGY BETUL   ,Madhya Pradesh,Betul
20811,BVM ICM GWALIOR   ,Madhya Pradesh,Gwalior
20812,CAREER ACADEMY OF TECHNOLOGY & SOFTWARE PALAMPUR   ,Himachal Pradesh,Kangra
20813,CAREER COMPUTER INSTITUTE OF INFORMATION TECHNOLOGY CHHATARPUR   ,Madhya Pradesh,Chhatarpur
20814,"CAREER COMPUTER INSTITUTE OF INFORMATION TECHNOLOGY , NOWGAON   ",Madhya Pradesh,Chhatarpur
20815,C.B.S. COMPUTER INSTITUTE V ,Madhya Pradesh,Vidisha
20816,CCA INSTITUTE OF PROFESSIONAL EDUCATION JHANSI   ,Uttar Pradesh,Jhansi
20817,CCA INSTITUTE OF PROFESSIONAL EDUCATION LALITPUR   ,Uttar Pradesh,Lalitpur
20818,C-DOTS INSTITUTE OF COMPUTER TECHNOLOGY SAHARANPUR   ,Uttar Pradesh,Saharanpur
20819,CENTRE FOR ADVANCED COMPUTER TRAINING B.J.S. BHOPAL   ,Madhya Pradesh,Bhopal
20820,CENTRE FOR COMPUTER EDUCATION BHOPAL   ,Madhya Pradesh,Bhopal
20821,CENTRE FOR INFORMATION MANAGEMENT MUZAFFARNAGAR   ,Uttar Pradesh,Muzaffarnagar
20822,"CENTRE FOR INFORMATION TECHNOLOGY , MEERUT   ",Uttar Pradesh,Meerut
20823,CENTRE FOR MANAGEMENT & INFORMATION TECHNOLOGY S ,Madhya Pradesh,Sidhi
20824,"CENTRE FOR MEDIA AND JOURNALISM, JABALPUR   ",Madhya Pradesh,Jabalpur
20825,CENTRE OF ASCENT TECHNOLOGY & SCIENCE DHARAMSHALA   ,Himachal Pradesh,Kangra
20826,CENTRE OF COMPUTER AND COMMUNICATION PRATAPGARH   ,Uttar Pradesh,Pratapgarh
20827,CENTRE OF COMPUTER AND SOFTWARE EDUCATION JABALPUR   ,Madhya Pradesh,Jabalpur
20828,CENTRE OF COMPUTER & INFORMATION TECHNOLOGY SIHORA   ,Madhya Pradesh,Jabalpur
20829,CENTRE OF COMPUTERS & COMMUNICATION ALLAHABAD   ,Uttar Pradesh,Allahabad
20830,CENTRE OF INFORMATION & MANAGEMENT KASHIPUR   ,Uttrakhand,Udham Singh Nagar
20831,CENTRE OF MANAGEMENT SCIENCE & TECHNOLOGY MEERUT   ,Uttar Pradesh,Meerut
20832,CHANAKYA INSTITUTE OF IT & MANAGEMENT MAINPURI   ,Uttar Pradesh,Mainpuri
20833,"CHANDRA IT EDUCATION TRUST , ALWAR   ",Rajasthan,Alwar
20834,"CHHOTANAGPUR INSTITUTE OF INFORMATION TECHNOLOGY AND MANAGEMENT , DHANBAD   ",Jharkhand,Dhanbad
20835,CHHOTA NAGPUR INSTITUTE OF INFORMATION TECHNOLOGY & MANAGEMENT DHANBAD   ,Jharkhand,Dhanbad
20836,CHIRAG EDUCATION POINT AJMER   ,Rajasthan,Ajmer
20837,CHITRAKOOT INSTITUTE OF COMPUTER SCIENCE & TECHNOLOTY KARWI   ,Uttar Pradesh,Chitrakoot
20838,CISL COMPUTER EDUCATION AMETHI   ,Uttar Pradesh,Sultanpur
20839,CITY CENTRE OF MANAGEMENT & INFORMATION TECHNOLOGY JABALPUR   ,Madhya Pradesh,Jabalpur
20840,CITY INSTITUTE OF IT & PROFESSIONAL STUDIES KATNI   ,Madhya Pradesh,Katni
20841,COLLEGE OF COMPUTERS & COMMUNICATION JABALPUR   ,Madhya Pradesh,Jabalpur
20842,"COLLEGE OF MANAGEMENT STUDIES, KANPUR   ",Uttar Pradesh,Kanpur Nagar
20843,"COMMITS, BANGALORE   ",Karnataka,Bangalore
20844,COMP-FEEDERS TAKNIKI PRASHIKSHAN SANSTHAN INDORE   ,Madhya Pradesh,Indore
20845,COMP-TECH DEGREE COLLEGE DHAMTARI   ,Chhatisgarh,Dhamtari
20846,COMP-TECH TRUST SAWAI MADHOPUR   ,Rajasthan,Sawai Madhopur
20847,"COMPUTER CORNER EDUCATIONAL SOCIETY, ITARSI   ",Madhya Pradesh,Hoshangabad
20848,COMPUTER MANTHAN   ,Jharkhand,Ranchi
20849,COMPUTER.NET SAGAR   ,Madhya Pradesh,Sagar
20850,COMPUTER POINT BHOPAL   ,Madhya Pradesh,Bhopal
20851,COMTECH INFOSYS BHILWARA   ,Rajasthan,Bhilwara
20852,CO-OPERATIVE COMPUTER & MANAGEMENT TRANING CENTRE BHOPAL   ,Madhya Pradesh,Bhopal
20853,CORAL INSTITUTE OF INFORMATION TECHNOLOGY HARDOI   ,Uttar Pradesh,Hardoi
20854,CTNT STUDY CENTRE MANDI   ,Himachal Pradesh,Mandi
20855,CYBER INSTITUTE OF MANAGEMENT MEERUT   ,Uttar Pradesh,Meerut
20856,DAKSH ACADEMY DHAR   ,Madhya Pradesh,Dhar
20857,DATACARE INSTITUTE OF INFORMATION TECHNOLOGY SATNA   ,Madhya Pradesh,Satna
20858,DATASOFT JHANSI   ,Uttar Pradesh,Jhansi
20859,DAYANAND ACADEMY OF ADVANCED STUDIES DEHRADUN   ,Uttrakhand,Dehradun
20860,"DAYANAND ACADEMY OF ADVANCED STUDIES,DEHRADUN   ",Uttrakhand,Dehradun
20861,DAYANAND ACADEMY OF ADVANCED STUDIES DEHRADUN1   ,Uttrakhand,Dehradun
20862,"DAYANAND ACADEMY OF ADVANCE STUDIES, NEW TEHRI   ",Uttrakhand,Tehri Garhwal
20863,DAYANAND ACADEMY OF ADVANCE STUDIES RISHIKESH   ,Uttrakhand,Dehradun
20864,DEEKSHA COMPUTER INSTITUTE MAND ,Madhya Pradesh,Raisen
20865,"DELHI FILM INSTITUTE, NEW DELHI   ",Delhi,New Delhi
20866,DESIGN EDUTECH JABALPUR   ,Madhya Pradesh,Jabalpur
20867,DHAMTARI INSTITUTE OF INFORMATION TECHNOLOGY DHAMTARI   ,Chhatisgarh,Dhamtari
20868,D.H. COMPUTER EDUCATION PATHAKHERA   ,Madhya Pradesh,Betul
20869,DIGITAL COMPUTER ACADEMY AJAIGARH   ,Madhya Pradesh,Panna
20870,DIGITAL COMPUTER AND MANAGEMENT ACADEMY CHHATARPUR   ,Madhya Pradesh,Chhatarpur
20871,DIGITAL COMPUTER CENTER RAJNAGAR   ,Madhya Pradesh,Anuppur
20872,DIGITAL INSTITUTE OF TECHNOLOGY & SCIENCE KOTMA   ,Madhya Pradesh,Anuppur
20873,"DIGITAL POINT IT EDUCATION , SAGAR   ",Madhya Pradesh,Sagar
20874,DISTRICT CO-OPERATIVE UNION COMPUTER CENTRE HOSHANGABAD   ,Madhya Pradesh,Hoshangabad
20875,"DOEACC CENTRE, CHANDIGARH SHIMLA   ",Himachal Pradesh,Shimla
20876,"DOEACC CENTRE, LUCKNOW   ",Uttar Pradesh,Lucknow
20877,DOT-CMC COMPUTER EDUCATION SEHORE   ,Madhya Pradesh,Sehore
20878,"D.P.VIPRA INSTITUTE OF COMPUTER SCIENCE, BILASPUR   ",Chhatisgarh,Bilaspur
20879,"DREAM VALLEY COLLEGE, SITHOLI   ",Madhya Pradesh,Gwalior
20880,DR. GOUR COMPUTER CENTRE SAGAR   ,Madhya Pradesh,Sagar
20881,DR. RADHAKRISHNAN V ,Madhya Pradesh,Neemuch
20882,DR. ZAKIR HUSSAIN INSTITUE FOR NON-FORMAL & CONTINUING EDUCATION PATNA   ,Bihar,Patna
20883,DR. ZAKIR HUSSAIN INSTITUTE FOR NON-FORMAL & CONTINUING EDUCATION DHANBAD   ,Jharkhand,Dhanbad
20884,DR. ZAKIR HUSSAIN INSTITUTE FOR NON-FORMAL & CONTINUING EDUCATION MUZAFFARPUR   ,Bihar,Muzaffarpur
20885,DR. ZAKIR HUSSAIN INSTITUTE OF NON FORMAL & CONTINUING EDUCATION BHAGALPUR   ,Bihar,Bhagalpur
20886,"DR. ZAKIR HUSSAIN INSTITUTE OF NON FORMAL & CONTINUING EDUCATION , BHAGALPUR   ",Bihar,Bhagalpur
20887,"DR. ZAKIR HUSSAIN INSTITUTE OF NON FORMAL & CONTINUING EDUCATION , JAMSHEDPUR   ",Jharkhand,Purbi Singhbhum
20888,"DR. ZAKIR HUSSAIN INSTITUTE OF NON FORMAL & CONTINUING EDUCATION , RANCHI   ",Jharkhand,Ranchi
20889,"DUJARI DATA SYSTEMS, BIKANER   ",Rajasthan,Ajmer
20890,E-AXIS INFOLUTIONS NEW DELHI   ,Delhi,New Delhi
20891,"EDITWORKS SCHOOL OF MASS COMMUNICATION,NO ",Uttar Pradesh,Gautam Buddha Nagar
20892,"E.M.S. ACADEMY OF JOURNALISM, BHOPAL   ",Madhya Pradesh,Bhopal
20893,E-@NET COMPUTERS PANDHURNA   ,Madhya Pradesh,Chhindwara
20894,EUREKA INSTITUTE OF COMPUTER & TECHNOLOGY BHOPAL   ,Madhya Pradesh,Bhopal
20895,EXCEL INSTITUTE OF COMPUTERS HOSHANGABAD   ,Madhya Pradesh,Hoshangabad
20896,EXTOL FACULTY OF COMPUTER SCIENCES BHOPAL   ,Madhya Pradesh,Bhopal
20897,EXTOL INSTITUTE OF COMPUTER APPLICATION BHOPAL   ,Madhya Pradesh,Bhopal
20898,"EXTOL INSTITUTE OF JOURNALISM, BHOPAL   ",Madhya Pradesh,Bhopal
20899,FASTEST COMPUTER EDUCATION CENTRE NARSINGHGARH   ,Madhya Pradesh,Rajgarh
20900,FILM INSTITUTE OF e-MITS LUCKNOW   ,Uttar Pradesh,Lucknow
20901,"FILM INSTITUTE OF EMITS, LUCKNOW   ",Uttar Pradesh,Lucknow
20902,"FORTUNE INSTITUTE OF COMMUNICATION AND TELEVISION, NEW DELHI   ",Delhi,New Delhi
20903,"GALAXY COMPUTER POINT, PANIPAT   ",Haryana,Panipat
